fips,Net Loss
48483,33
48483,151
48483,5
48483,2
48483,22
48483,7
48483,440
48483,60
48483,20
48483,1
48483,30
48483,5
48483,43
48483,60
48483,3
48483,0
48483,46
48423,10
48423,400
48423,52
48423,10
48197,10
48197,5
48197,25
48479,1
48479,15
48479,280
48479,20
48479,16
48479,10
48479,2
48479,16
48479,40
48479,7
48479,17
48479,17
48479,105
48479,2
48479,0
48479,160
48479,428
48479,260
48479,30
48303,5
48303,5
48303,30
48303,0
48105,64
48105,5
48105,23
48105,3
48105,16
48105,60
48105,3
48105,52
48105,65
48105,6
48105,5
48105,70
48105,4
48105,3
48105,10
48105,20
48105,18
48105,8
48105,11
48105,12
48105,7
48105,9
48105,10
48105,4
48105,5
48105,80
48105,13
48105,50
48211,2
48211,0
48211,7
48211,1
48211,120
48211,2
48211,1
48211,19
48211,0
48211,9
48211,3
48211,8
48211,2
48211,22
48383,20
48383,68
48383,2
48383,0
48383,4
48383,221
48383,2
48383,30
48383,14
48383,10
48383,4
48383,3
48383,22
48383,0
48383,0
48383,0
48383,44
48383,4
48383,2
48383,3
48383,1
48383,0
48383,10
48383,20
48383,61
48383,4
48383,5
48383,10
48383,250
48383,0
48383,10
48383,6
48383,116
48383,6
48383,2
48383,0
48383,1
48383,1
48383,5
48383,8
48383,5
48383,8
48383,80
48383,3
48383,92
48383,2
48383,10
48383,3
48383,2
48383,0
48383,2
48383,2
48383,2
48383,0
48383,8
48383,0
48383,3
48383,3
48383,35
48383,2
48383,2
48383,55
48383,2
48383,3
48383,42
48383,5
48383,10
48383,3
48383,2
48383,5
48383,4
48383,50
48383,0
48383,6
48383,5
48383,0
48383,10
48383,45
48383,6
48383,2
48383,33
48383,2
48383,0
48383,169
48383,8
48383,2
48383,2
48383,8
48383,3
48383,2
48383,5
48383,40
48383,18
48383,2
48383,1
48383,40
48383,2
48383,5
48383,75
48383,14
48383,5
48383,6
48383,1
48383,122
48383,20
48383,13
48383,9
48383,0
48383,5
48383,5
48383,5
48383,20
48383,2
48383,2
48383,15
48383,10
48383,14
48383,4
48383,10
48383,10
48383,10
48383,15
48383,2
48383,6
48383,2
48383,0
48383,5
48461,5
48461,3
48461,113
48461,7
48461,8
48461,20
48461,3
48461,10
48461,6
48461,3
48461,3
48461,4
48461,3
48461,15
48461,6
48461,9
48461,1
48461,27
48461,6
48461,68
48461,12
48461,4
48461,3
48461,1
48461,2
48461,18
48461,18
48461,5
48461,40
48461,5
48461,15
48461,8
48461,13
48461,5
48461,5
48461,6
48461,84
48461,140
48461,30
48461,3
48461,126
48461,1
48461,12
48461,25
48461,25
48461,5
48461,10
48461,0
48461,4
48461,0
48461,2
48461,25
48461,14
48461,3
48461,8
48461,0
48461,5
48461,35
48461,115
48461,11
48461,124
48461,180
48461,3
48461,5
48461,3
48461,3
48461,5
48461,11
48461,2
48461,0
48461,315
48461,50
48461,15
48461,2
48461,30
48461,10
48461,5
48461,20
48461,5
48461,5
48461,6
48461,3
48461,5
48461,0
48461,5
48461,6
48461,3
48461,36
48461,6
48461,5
48419,13
48419,65
48269,65
48269,7
48415,5
48415,5
48415,50
48415,15
48415,10
48415,1
48415,1
48415,5
48415,20
48415,3
48079,1
48079,7
48079,30
48079,60
48079,0
48079,1
48079,5
48013,0
48013,394
48013,10
48013,2
48013,3
48013,10
48013,11
48013,223
48013,1
48013,20
48013,15
48013,17
48013,9
48013,0
48013,6
48013,60
48013,8
48013,3
48127,19
48127,6
48127,0
48357,5
48357,14
48357,2
48357,3
48357,2
48357,1
48357,1
48357,133
48357,1
48357,3
48357,0
48357,5
48357,1
48401,50
48401,43
48401,45
48401,0
48401,28
48401,30
48401,0
48401,5
48401,0
48391,2
48391,2
48391,4
48391,30
48391,1
48391,13
48391,8
48391,5
48077,5
48077,120
48365,2
48365,140
48365,1
48365,40
48365,52
48365,0
48365,0
48365,3
48365,0
48365,1
48365,218
48365,0
48365,40
48365,32
48365,10
48365,2
48365,0
48297,15
48297,8
48297,316
48029,41
48029,64
48169,0
48169,10
48169,9
48169,5
48169,100
48169,0
48169,206
48169,92
48169,193
48169,1
48169,124
48169,13
48169,213
48393,111
48393,5
48393,1
48393,3
48393,1
48393,167
48393,51
48393,5
48283,30
48283,1
48283,1
48283,27
48283,15
48283,1
48283,390
48283,190
48283,90
48283,156
48283,182
48283,181
48283,20
48283,28
48283,185
48283,150
48501,130
48501,4
48501,2
48501,15
48501,2
48501,5
48501,7
48501,50
48497,18
48497,164
48497,1
48497,49
48497,5
48497,0
48497,96
48497,0
48237,0
48237,20
48237,40
48221,449
48221,2
48221,0
48177,19
48177,2
48177,9
48177,15
48177,3
48177,100
48177,134
48177,5
48177,201
48177,1
48177,0
48177,1
48177,28
48177,0
48177,35
48055,2
48055,1
48055,15
48285,1
48285,83
48285,0
48285,24
48347,40
48347,7
48347,35
48239,10
48239,1
48239,1
48341,10
48341,4
48341,10
48009,0
48009,175
48009,26
48009,0
48293,10
48073,1
48073,100
48253,25
48253,125
48433,10
48433,0
48433,0
48433,5
48317,15
48317,2
48317,5
48317,5
48317,41
48317,4
48317,5
48317,9
48317,3
48317,3
48317,3
48317,9
48317,3
48317,1
48317,2
48317,40
48317,2
48317,2
48317,1
48317,2
48317,10
48317,10
48317,1
48317,1
48317,5
48317,3
48317,184
48317,2
48317,0
48317,0
48317,3
48317,1
48317,2
48317,4
48317,5
48317,10
48317,5
48317,5
48317,4
48317,0
48317,5
48317,2
48317,2
48317,158
48317,7
48317,5
48317,1
48317,0
48317,2
48317,1
48317,5
48317,323
48317,0
48317,1
48317,0
48317,1
48317,15
48317,15
48317,0
48317,1
48317,1
48317,30
48317,5
48317,1
48317,1
48317,15
48317,0
48317,40
48317,4
48317,3
48317,8
48317,1
48317,3
48317,243
48317,3
48121,36
48121,3
48121,70
48121,50
48121,24
48121,69
48121,0
48003,5
48003,3
48003,0
48003,4
48003,7
48003,1
48003,13
48003,5
48003,6
48003,4
48003,5
48003,7
48003,10
48003,324
48003,23
48003,19
48003,5
48003,2
48003,0
48003,6
48003,15
48003,2
48003,2
48003,255
48003,5
48003,1
48003,18
48003,10
48003,10
48003,5
48003,2
48003,6
48003,23
48003,10
48003,5
48003,55
48003,4
48003,2
48003,5
48003,21
48003,4
48003,2
48003,4
48003,3
48003,15
48003,2
48371,8
48371,1
48371,0
48371,15
48371,15
48371,0
48371,20
48263,80
48329,7
48329,2
48329,10
48329,10
48329,1
48329,117
48329,3
48329,2
48329,9
48329,3
48329,1
48329,15
48329,200
48329,1
48329,10
48329,41
48329,14
48329,20
48329,15
48329,9
48329,25
48329,0
48329,10
48329,0
48329,2
48329,38
48329,113
48329,6
48329,2
48329,5
48329,9
48329,7
48329,5
48329,1
48329,5
48329,1
48329,5
48329,17
48329,5
48329,4
48329,2
48329,7
48329,15
48329,0
48329,5
48329,6
48329,2
48329,5
48329,7
48329,20
48329,2
48329,2
48329,9
48329,2
48329,3
48329,30
48329,5
48329,10
48329,0
48329,0
48329,2
48329,11
48329,104
48329,2
48329,5
48329,5
48329,2
48329,6
48329,90
48329,1
48329,7
48329,2
48329,5
48329,3
48329,15
48329,63
48329,4
48329,10
48329,5
48329,0
48329,8
48329,65
48329,5
48329,5
48329,50
48329,19
48329,2
48329,8
48329,2
48329,180
48329,2
48329,28
48329,84
48329,142
48329,416
48329,0
48329,0
48329,3
48329,5
48329,0
48329,5
48329,6
48329,15
48329,15
48329,15
48329,5
48329,15
48329,5
48329,19
48329,1
48329,23
48329,3
48329,10
48329,10
48329,3
48329,1
48329,30
48329,10
48329,1
48329,1
48071,5
48071,0
48389,0
48389,1
48389,6
48389,0
48389,0
48389,0
48389,20
48389,0
48389,5
48389,10
48389,341
48389,2
48389,3
48389,114
48389,2
48389,0
48389,12
48389,9
48389,1
48389,27
48389,2
48389,3
48389,1
48389,0
48389,0
48389,380
48389,150
48389,1
48389,0
48389,0
48389,2
48389,96
48389,1514
48389,0
48389,0
48389,3
48389,4
48389,3
48389,0
48389,1
48389,7
48389,5
48389,225
48389,20
48389,35
48389,207
48389,1165
48389,8
48389,54
48389,0
48389,5
48389,20
48389,20
48389,5
48389,5
48389,5
48389,10
48389,5
48389,3
48389,15
48389,0
48389,0
48389,0
48389,10
48389,50
48389,187
48389,93
48389,92
48389,9
48389,181
48389,146
48389,186
48389,0
48389,7
48389,28
48389,100
48389,3
48389,200
48389,60
48389,5
48389,5
48389,5
48389,0
48389,0
48389,5
48389,150
48389,4
48389,3
48389,10
48389,3
48389,3
48389,15
48255,25
48255,4
48255,0
48255,8
48255,0
48255,0
48255,2
48255,477
48255,128
48255,2
48255,30
48295,60
48295,1
48295,1
48295,4
48295,45
48295,1
48295,47
48295,3
48135,1
48135,0
48135,7
48135,8
48135,3
48135,0
48135,1
48135,42
48135,1
48135,15
48135,0
48135,18
48135,6
48135,10
48135,1
48135,7
48135,2
48135,12
48135,5
48135,3
48135,7
48135,3
48135,13
48135,2
48135,1
48135,13
48135,5
48135,0
48135,2
48135,9
48135,9
48135,2
48135,7
48135,2
48135,5
48135,5
48135,69
48135,77
48135,10
48135,0
48135,5
48135,10
48135,115
48135,0
48135,5
48135,2
48135,18
48135,8
48135,12
48135,12
48135,5
48135,10
48173,2
48173,10
48173,20
48173,7
48173,4
48173,8
48173,1
48173,3
48173,3
48173,6
48173,6
48173,0
48173,15
48173,2
48173,10
48173,3
48173,15
48173,30
48173,3
48173,3
48173,2
48173,10
48173,6
48173,10
48173,3
48173,3
48173,2
48173,2
48173,0
48173,2
48173,15
48173,1
48173,320
48173,0
48173,5
48173,3
48173,3
48173,1
48173,3
48173,3
48173,5
48173,10
48173,10
48173,3
48173,1
48495,15
48495,10
48495,271
48495,7
48495,6
48495,21
48495,21
48495,2
48495,9
48227,10
48227,2
48227,1
48227,1
48227,2
48227,1
48227,1
48227,5
48227,5
48227,7
48227,5
48227,0
48227,577
48227,5
48227,0
48227,2
48227,9
48227,4
48227,230
48227,2
48227,2
48227,5
48227,135
48227,0
48227,0
48227,1
48227,0
48227,1
48227,5
48227,3
48227,3
48227,2
48227,3
48227,5
48227,2
48227,2
48227,12
48227,8
48227,17
48227,30
48227,3
48227,2
48227,8
48227,0
48227,5
48227,20
48227,5
48227,4
48227,0
48227,5
48227,1
48227,5
48409,110
48409,160
48181,1
48181,5
48181,70
48181,240
48181,3
48301,4
48301,0
48301,25
48301,0
48301,17
48301,5
48301,17
48301,75
48301,5
48301,7
48301,9
48301,2
48301,5
48301,7
48301,1
48301,2
48301,5
48301,58
48301,0
48301,22
48301,1
48301,1
48301,1
48301,11
48301,2
48301,3
48301,0
48301,180
48301,2
48301,4
48301,4
48301,2
48301,57
48301,195
48301,1
48301,75
48301,0
48301,0
48301,1560
48301,2
48301,0
48301,120
48301,0
48301,1
48301,256
48301,15
48301,7
48301,7
48301,3
48301,2
48503,10
48503,75
48503,10
48503,150
48469,220
48469,0
48469,0
48179,175
48179,60
48179,104
48179,31
48179,19
48179,4
48213,9
48213,37
48475,20
48475,5
48475,4
48475,0
48475,0
48475,1
48475,9
48475,1
48475,46
48475,36
48475,5
48475,5
48475,84
48475,1
48475,15
48475,5
48475,10
48475,2
48475,7
48475,3
48475,10
48475,14
48475,0
48475,10
48475,37
48475,40
48475,0
48475,18
48475,3
48475,3
48475,0
48475,70
48475,5
48475,2
48475,2
48475,1
48475,35
48475,0
48475,0
48475,100
48475,10
48475,4
48475,0
48131,2
48131,217
48233,1
48233,10
48233,3
48233,3
48233,620
48233,20
48233,8
48233,32
48233,80
48335,1
48335,2
48335,48
48167,3
48103,7
48103,50
48103,20
48103,0
48103,3
48103,10
48103,17
48103,8
48103,0
48103,2
48103,190
48103,3
48103,186
48103,186
48375,10
48375,166
48375,11
48375,23
48311,0
48311,0
48311,310
48311,2
48311,0
48311,1
48311,101
48165,4
48165,56
48165,1
48165,5
48165,5
48165,0
48429,7
48429,33
48429,1
48429,0
48429,0
48081,10
48235,20
48235,47
48235,2
48235,10
48235,93
48235,10
48235,2
48235,5
48235,3
48235,12
48235,29
48235,5
48065,57
48313,8
48033,0
48033,2
48033,5
48033,380
48163,33
48163,10
48163,330
48163,90
48163,20
48163,1
48163,10
48485,2
48485,0
48485,0
48485,2
48485,100
48485,0
48485,0
48485,151
48485,10
48273,1
48109,32
48109,1
48109,0
48109,5
48109,0
48109,0
48109,63
48109,3
48109,0
48109,0
48109,46
48109,7
48109,0
48219,2
48219,7
48219,30
48219,5
48219,0
48219,2
48219,51
48219,12
48219,2
48161,0
48161,2
48095,0
48095,246
48367,10
48215,15
48505,6
48505,130
48507,178
48507,2
48507,147
48507,0
48187,61
48187,140
48187,5
48459,50
48459,322
48489,0
48489,7
48195,90
48195,40
48195,5
48195,1
48195,5
48083,15
48083,140
48493,13
48493,0
48493,2
48493,24
48337,7
48143,9
48089,15
48201,3
48039,0
48039,25
48039,0
48245,0
48499,2
48499,0
48499,7
48499,1
48499,15
48445,0
48445,10
48445,0
48445,8
48005,200
48413,25
48157,90
48157,40
48251,16
48251,120
48257,0
48257,0
48203,120
48203,89
48203,31
48203,75
48203,70
48203,31
48203,3
48353,240
48353,12
48487,560
48097,142
48047,1
48047,10
48417,91
48417,85
48431,16
48115,3
48115,132
48115,44
48133,0
48321,2
48355,1
48355,263
48355,3
48435,10
48435,0
48435,0
48247,150
48275,3
48223,4
48327,25
48441,80
48441,5
48441,43
48319,0
48319,0
48427,205
48481,20
48449,10
48125,158
48225,0
48229,6
48229,20
48229,1
48085,641
48059,175
48021,0
48305,273
48363,47
48041,126
48399,23
48175,40
